alpha,energy
7.13,-8.143639591
7.14,-8.159867926
7.15,-8.176114489
7.16,-8.192379299
7.17,-8.208662376
7.18,-8.224963739
7.19,-8.241283405
7.2,-8.257621395
7.21,-8.273977726
7.22,-8.290352416
7.23,-8.306745484
7.24,-8.323156948
7.25,-8.339586826
7.26,-8.356035135
7.27,-8.372501894
7.28,-8.388987118
7.29,-8.405490827
7.3,-8.422013036
7.31,-8.438553763
7.32,-8.455113025
7.33,-8.471690839
7.34,-8.488287221
7.35,-8.504902187
7.36,-8.521535755
7.37,-8.538187939
7.38,-8.554858757
7.39,-8.571548224
7.4,-8.588256356
7.41,-8.604983169
7.42,-8.621728678
7.43,-8.638492899
7.44,-8.655275847
7.45,-8.672077536
7.46,-8.688897983
7.47,-8.705737202
7.48,-8.722595208
7.49,-8.739472015
7.5,-8.756367638
7.51,-8.773282092
7.52,-8.790215391
7.53,-8.807167548
7.54,-8.824138579
7.55,-8.841128497
7.56,-8.858137315
7.57,-8.875165048
7.58,-8.89221171
7.59,-8.909277313
7.6,-8.926361871
7.61,-8.943465397
7.62,-8.960587905
7.63,-8.977729407
7.64,-8.994889918
7.65,-9.012069448
7.66,-9.029268011
7.67,-9.046485621
7.68,-9.063722288
7.69,-9.080978026
7.7,-9.098252847
7.71,-9.115546764
7.72,-9.132859787
7.73,-9.15019193
7.74,-9.167288028
7.75,-9.184658115
7.76,-9.202047358
7.77,-9.219455766
7.78,-9.236883353
7.79,-9.254330129
7.8,-9.271796106
7.81,-9.289281294
7.82,-9.306785706
7.83,-9.324309352
7.84,-9.341852243
7.85,-9.359414389
7.86,-9.376995803
7.87,-9.394596494
7.88,-9.412216474
7.89,-9.429855751
7.9,-9.447514338
7.91,-9.465192245
7.92,-9.482889481
7.93,-9.500606056
7.94,-9.518341982
7.95,-9.536097268
7.96,-9.553871924
7.97,-9.571665959
7.98,-9.589479384
7.99,-9.607312208
8,-9.625164442
8.01,-9.643036093
8.02,-9.660927173
8.03,-9.678837689
8.04,-9.696767653
8.05,-9.714717072
8.06,-9.732685956
8.07,-9.750674314
8.08,-9.768682155
8.09,-9.786709488
8.1,-9.804756322
8.11,-9.822822666
8.12,-9.840908529
8.13,-9.859013918
8.14,-9.877138843
8.15,-9.895283312
8.16,-9.913447334
8.17,-9.931630917
8.18,-9.94983407
8.19,-9.9680568
8.2,-9.986299116
8.21,-10.00456103
8.22,-10.02284254
8.23,-10.04114366
8.24,-10.0594644
8.25,-10.07780476
8.26,-10.09616476
8.27,-10.1145444
8.28,-10.13294369
8.29,-10.15136264
8.3,-10.16980125
8.31,-10.18825953
8.32,-10.2067375
8.33,-10.22523514
8.34,-10.24375249
8.35,-10.26228953
8.36,-10.28084628
8.37,-10.29942275
8.38,-10.31801894
8.39,-10.33663486
